mode,sweep_param,seed,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,sequence_len,micro_batch_size,grad_accum_steps,data_parallel_degree,training_mode,lora_rank,route_diversity,expert_capacity_factor,activation_checkpoint_ratio,activation_offload_ratio,prefetch_accuracy,weight_prefetch_depth,lhb_enable,lhb_size_mb,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tflops_bf16,compute_efficiency,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,tail_jitter_sigma,burst_probability,traffic_burst_factor,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_steps,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec_train,step_time_ms,step_p50_ms,step_p90_ms,step_p99_ms,step_p999_ms,step_max_ms,tail_ratio_p99_p50,stall_ratio,hbm_util,hbf_util,bridge_util,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,shared_context_reuse_ratio,batch_gain,expert_balance_score,thermal_peak_c,thermal_avg_c,thermal_throttle_ratio,burst_event_ratio,power_w,throughput_per_watt,train_stability_score,convergence_proxy,process_factor,model_hbm_resident_gb,model_hbf_resident_gb,trainable_ratio,trainable_gb,optimizer_gb,activation_stored_gb,activation_offload_gb,oom_hbm,oom_hbf
lora_sft,grad_accum_steps,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,8,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2638.066147894161,99369.76000744208,96315.23006767328,111346.06153722359,162112.27176136736,170583.96837543958,171307.06656944889,1.683142651971693,0.0002820187614154071,9.336184116078366e-07,0.0009674425221797881,0.0009493135997940266,0.5596220000000001,0.75,0.8079244000000001,0.0,1.0,0.80375,74.04429724752272,57.60872277879774,0.0,0.05,542.7814598507382,4.860273135747146,65.50305,0.6998448896812215,0.9571574563500113,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,8,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,23,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2327.439000716251,112631.95294026063,111232.07952601157,120210.07383489888,172644.83107618085,183034.98539899534,184261.60672868593,1.5521136691129462,0.0002508902138473118,8.236866633148635e-07,0.0008535280507920274,0.0008375337736829182,0.5596220000000001,0.75,0.8079244000000001,0.0,1.0,0.80375,73.76049277176384,57.34566654939988,0.0,0.03333333333333333,538.5921696655073,4.3213383554419424,66.70020827217634,0.7238051758259109,1.0759495352258324,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,8,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,37,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2555.694245226369,102572.52035905444,100438.86003622456,112337.43871422789,148329.0137693527,158799.50354098633,160101.0223966425,1.4768090131235652,0.0002716662820956592,9.0446678286979e-07,0.0009372347575498946,0.0009196718989951798,0.5596220000000001,0.75,0.8079244000000001,0.0,1.0,0.80375,73.87343463086088,57.565247095379604,0.0,0.05,545.6665962183208,4.683618647244145,68.58282467191087,0.7614460769830648,0.993643013233809,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,16,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2638.120561555883,198735.42082958898,192626.48695502727,222687.52984469503,324217.85609347536,341160.899848559,342607.0664074476,1.6831426519716932,0.00026139823372626656,4.913882467068513e-07,0.0009290469231869836,0.0009111080653656074,0.584786,0.75,0.8129572,0.0,1.0,0.80375,74.11427852593151,57.64924565754801,0.0,0.05,544.4237849308504,4.8457114376275126,66.13215,0.6998562309714507,0.9571574563500113,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,16,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,23,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2327.4817083304515,225259.77244997647,222460.07699481762,240415.73613312445,345283.3263355749,366063.25367749645,368516.45132164046,1.5521136691129462,0.00023254520060963032,4.3352725139454967e-07,0.0008196515926562159,0.0008038250364115803,0.584786,0.75,0.8129572,0.0,1.0,0.80375,73.8299653715324,57.385717937752716,0.0,0.03333333333333333,540.2337100468442,4.308286700821823,67.32930827217635,0.7238152655831915,1.0759495352258324,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,16,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,37,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2555.7450247445645,205140.9647378264,200873.72887859264,224670.41341427754,296652.133307645,317592.69677933963,320195.6827714861,1.4768090131235652,0.00025180251192521714,4.7604460730116156e-07,0.0009000373547329566,0.0008826586392585043,0.584786,0.75,0.8129572,0.0,1.0,0.80375,73.94310966264246,57.60569205023011,0.0,0.05,547.3087132226701,4.669658938363678,69.21192467191088,0.7614570020566586,0.993643013233809,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,24,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2638.137980629817,298101.1629316867,288937.82262386533,334029.0892281881,486323.5730260593,511737.97085161746,513907.2063668469,1.683142651971693,0.00025479712501569134,3.4397404388354566e-07,0.0009162477883811274,0.000898372292030846,0.5931740000000001,0.75,0.8146348000000001,0.0,1.0,0.80375,74.13760561873444,57.66275328379808,0.0,0.05,544.9710886067613,4.840876948856707,66.34185000000001,0.6998598615812415,0.9571574563500113,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,24,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,23,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2327.4953799862424,337887.67391866894,333688.15540395334,360621.4859047035,517921.947223561,549091.6551452007,552771.4299963746,1.5521136691129462,0.0002266725544510785,3.0347085855721866e-07,0.0008083589675891661,0.0007925883234925642,0.5931740000000001,0.75,0.8146348000000001,0.0,1.0,0.80375,73.85312290478866,57.399068400537004,0.0,0.03333333333333333,540.7807684009185,4.303953683243239,67.53900827217635,0.7238184955385788,1.0759495352258324,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,24,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,37,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2555.761280428701,307709.4899364328,301308.67685962294,337003.4766282212,444975.369718627,476386.0151403823,480290.4692945231,1.4768090131235654,0.0002454436651871347,3.3323334461079734e-07,0.0008876376588399164,0.0008703203305667429,0.5931740000000001,0.75,0.8146348000000001,0.0,1.0,0.80375,73.96633467323628,57.61917370184694,0.0,0.05,547.8559518469921,4.665024212682984,69.42162467191086,0.7614604994223644,0.993643013233809,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,32,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2638.14641254207,397466.94687411655,385249.19884690427,445370.6954947186,648429.3582171486,682315.1136802483,685207.4184562841,1.683142651971693,0.0002516017789465813,2.7026618400553957e-07,0.0009098480618176656,0.0008920042483950794,0.5973680000000001,0.75,0.8154736000000001,0.0,1.0,0.80375,74.14926916513592,57.66950709692314,0.0,0.05,545.2446871459333,4.838463307824909,66.4467,0.6998616190215794,0.9571574563500113,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,32,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,23,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2327.5019979085127,450515.61757723417,444916.2754785948,480827.280704781,690560.6327811482,732120.1251744682,737026.4776921419,1.5521136691129462,0.00022382983251690187,2.384420668426309e-07,0.000802712530133327,0.0007869698438313349,0.5973680000000001,0.75,0.8154736000000001,0.0,1.0,0.80375,73.8647016714167,57.40574363192912,0.0,0.03333333333333333,541.0542505536679,4.30179043141561,67.64385827217635,0.7238200590356426,1.0759495352258324,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
lora_sft,grad_accum_steps,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,32,1,lora_sft,64,0.35,1.2,0.45,0.2,0.92,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,37,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2555.7691491852993,410278.056738518,401743.665578718,449336.58540630067,593298.6662919502,635179.3979106033,640385.3207546355,1.4768090131235652,0.0002423655900469499,2.61827005455627e-07,0.0008814376623619432,0.0008641510297351664,0.5973680000000001,0.75,0.8154736000000001,0.0,1.0,0.80375,73.97794717853319,57.625914527655354,0.0,0.05,548.129519524103,4.6627102868027785,69.52647467191088,0.7614621923636916,0.993643013233809,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.85,0,0
