mode,sweep_param,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,sequence_len,micro_batch_size,grad_accum_steps,data_parallel_degree,training_mode,lora_rank,route_diversity,expert_capacity_factor,activation_checkpoint_ratio,activation_offload_ratio,prefetch_accuracy,weight_prefetch_depth,lhb_enable,lhb_size_mb,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tflops_bf16,compute_efficiency,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,tail_jitter_sigma,burst_probability,traffic_burst_factor,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_steps,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec_train,step_time_ms,step_p50_ms,step_p90_ms,step_p99_ms,step_p999_ms,step_max_ms,tail_ratio_p99_p50,stall_ratio,hbm_util,hbf_util,bridge_util,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,shared_context_reuse_ratio,batch_gain,expert_balance_score,thermal_peak_c,thermal_avg_c,thermal_throttle_ratio,burst_event_ratio,power_w,throughput_per_watt,train_stability_score,convergence_proxy,process_factor,model_hbm_resident_gb,model_hbf_resident_gb,trainable_ratio,trainable_gb,optimizer_gb,activation_stored_gb,activation_offload_gb,oom_hbm,oom_hbf,tokens_per_sec_train_std,step_time_ms_std,step_p99_ms_std,tail_ratio_p99_p50_std,train_stability_score_std,convergence_proxy_std,step_p99_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
full_ft,activation_checkpoint_ratio,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.3,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2550.2148444791237,103083.70392884965,100924.82726731435,112691.48681117414,158303.88616764382,167915.87923731978,168981.2842301574,1.570688444736068,0.0006840058824207069,5.47691754192939e-05,0.002483634375745851,0.0025055267441121444,0.71307,0.75,0.7976140000000002,0.0,1.0,0.80375,73.74993153619066,57.42390383130324,0.0,0.044444444444444446,552.2639159510255,4.61687941390169,27.895957725878294,0.2548478390705042,1.0089166682698842,304.53749999999997,1104.4125,1.0,180.0,720.0,69.75,24.412499999999998,1.0,0.0,133.60197920082783,5552.53039871213,9785.897176849227,0.08525318898107519,0.5070602763543922,0.008874848925643742,169718.86683381652,2390.7745661051918,2675.038008967756,3
full_ft,activation_checkpoint_ratio,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.6,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2370.580198708803,110895.16294588025,108572.69968437108,121230.97793569833,170299.78118850294,180640.1518452399,181786.2921544849,1.570688444736068,0.0004735703487547262,5.0911288133100605e-05,0.00188140567909762,0.0019103016486762524,0.7738200000000001,0.75,0.809764,0.0,1.0,0.80375,73.91822196802457,57.521290544248735,0.0,0.044444444444444446,556.2615374104435,4.260832372530765,28.50345772587829,0.25488834791073484,1.0089166682698842,291.375,1097.325,1.0,180.0,720.0,49.50000000000001,17.325000000000003,1.0,0.0,124.21477371584062,5974.447853782071,10528.534112591573,0.08525318898107535,0.5070602763543922,0.008874450545675726,182582.19652862323,2222.3430561285154,2486.6348719643893,3
full_ft,activation_checkpoint_ratio,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.8,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2264.227101026917,116104.09190351194,113672.54344080668,126925.3831880828,178299.02658333853,189125.10245726767,190325.07957127053,1.5706884447360683,0.0003601434403515341,4.862721725337272e-05,0.001524922541375359,0.001557963654425592,0.81432,0.75,0.8178640000000001,0.0,1.0,0.80375,74.0304155892472,57.58621501954574,0.0,0.044444444444444446,558.9173290191076,4.05034034282009,28.908457725878293,0.2549101825906025,1.0089166682698842,282.59999999999997,1092.6,1.0,180.0,720.0,35.99999999999999,12.599999999999996,1.0,0.0,118.65418907895466,6255.732077642159,11023.688531788675,0.08525318898107538,0.5070602763543922,0.008874235907347643,191159.7411328904,2122.626166664681,2375.087459163834,3
full_ft,activation_offload_ratio,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.0,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2343.757026961046,112164.49029426608,109815.45658429759,122618.57280634104,172249.01995229538,182707.75101375047,183867.01217859157,1.5706884447360683,0.00015023309463900044,5.0335225688034415e-05,0.0008274639619645875,0.0008766860442909939,0.7839450000000001,0.75,0.881789,0.0,1.0,0.80375,74.9154127070287,58.097956381170526,0.0,0.044444444444444446,556.9820064769235,4.207171363493617,29.304707725878302,0.2549505903321521,1.0089166682698842,305.325,1080.0,1.0,180.0,720.0,46.12499999999999,0.0,1.0,0.0,122.844804060389,6044.617861150222,10650.714593315743,0.08525318898107544,0.5070602763543924,0.00887383886299989,184675.76956692775,2197.1555018523622,2458.534579370289,3
full_ft,activation_offload_ratio,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.2,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2343.402470939561,112181.37422687792,109831.98090060726,122637.0481858087,172274.96941115128,182735.27362602807,183894.70840044573,1.5706884447360683,0.00030110650490358415,5.032761113705698e-05,0.0013771101022653177,0.0014153293121057658,0.7839450000000001,0.75,0.841789,0.0,1.0,0.80375,74.36180230378443,57.77798268269152,0.0,0.044444444444444446,556.9584996897091,4.206712953629678,28.904707725878296,0.2549215472006762,1.0089166682698842,296.09999999999997,1089.225,1.0,180.0,720.0,46.12499999999999,9.225,1.0,0.0,122.80966327641353,6044.695365888302,10651.539690891543,0.08525318898107545,0.5070602763543927,0.008874124216130385,184701.84244378668,2196.8425542826258,2458.145861894922,3
full_ft,activation_offload_ratio,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.4,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2342.9437152433575,112203.22774117434,109853.36894988552,122660.96157012567,172308.5567798722,182770.89718688393,183930.55667076065,1.570688444736068,0.0004963199298292164,5.0317758762754334e-05,0.001926504203112433,0.0019537226571668498,0.7839450000000001,0.75,0.801789,0.0,1.0,0.80375,73.80775972984547,57.4573679898668,0.0,0.044444444444444446,556.9125270962076,4.206237519344961,28.5047077258783,0.254883968616378,1.0089166682698842,286.87499999999994,1098.45,1.0,180.0,720.0,46.12499999999999,18.45,1.0,0.0,122.76420231633521,6044.795684050995,10652.607799661326,0.0852531889810751,0.5070602763543891,0.008874493603204825,184735.58955710946,2196.4376268059973,2457.64291262325,3
full_ft,activation_offload_ratio,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.6,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2342.3808825834153,112230.05083715542,109879.62073213235,122690.31295929199,172349.78205845816,182814.62169631812,183974.55698953636,1.5706884447360683,0.0007358212801048545,5.030567120050411e-05,0.0024755730572499656,0.0024917943398069585,0.7839450000000001,0.75,0.7617890000000002,0.0,1.0,0.80375,73.25371715590656,57.1367532970421,0.0,0.044444444444444446,556.8441080255715,4.205745072241208,28.1047077258783,0.25483786460644997,1.0089166682698842,277.65,1107.675,1.0,180.0,720.0,46.12499999999999,27.674999999999994,1.0,0.0,122.70843892534843,6044.918816285469,10653.919037851025,0.08525318898107549,0.5070602763543893,0.008874947057062259,184777.0109068962,2195.9408212461435,2457.0258718577406,3
full_ft,prefetch_accuracy,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.6,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2341.7128151866877,112261.90591192593,109910.79731543663,122725.170631843,172398.7411470256,182866.5488682714,184026.8117123139,1.5706884447360683,0.0010201033787073364,5.029132358562669e-05,0.0017961879894777804,0.00182597822584011,0.4807050000000001,0.75,0.5861410000000001,0.0,1.0,0.80375,70.82080540522583,55.72887005791018,0.0,0.044444444444444446,536.9242962008138,4.36051201131696,23.9223077258783,0.25478314030246896,1.0089166682698842,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1.0,0.0,122.64226528718802,6045.065049827387,10655.476601776378,0.08525318898107538,0.5070602763543922,0.008875485672236966,184826.20284937305,2195.3511076436566,2456.293477436874,3
full_ft,prefetch_accuracy,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.75,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2342.398019232073,112229.23395972395,109878.82125363561,122689.41908457266,172348.52657327082,182813.29009891473,183973.21699256473,1.5706884447360683,0.0007285291431537848,5.030603923228719e-05,0.001792692575868357,0.0018225719489478453,0.632325,0.75,0.6989650000000002,0.0,1.0,0.80375,72.38353788927805,56.63319586049159,0.0,0.044444444444444446,546.9268329684129,4.282026762998835,26.2635077258783,0.25483926834281306,1.0089166682698842,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1.0,0.0,122.7101365792845,6044.915066363774,10653.87910121285,0.08525318898107527,0.5070602763543924,0.008874933246388246,184775.74945050635,2195.9559477697003,2457.0446588002847,3
full_ft,prefetch_accuracy,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2343.0681666509286,112197.2984643173,109847.56596260013,122654.47341109179,172299.44388364212,182761.23183274074,183920.83034863873,1.5706884447360683,0.00044336234432046004,5.032043151834086e-05,0.0017891833124517424,0.0018191516767200064,0.7839450000000001,0.75,0.8117890000000002,0.0,1.0,0.80375,73.94627037333022,57.53752166307299,0.0,0.044444444444444446,556.926125459106,4.206357973328145,28.6047077258783,0.25489416295158845,1.0089166682698842,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1.0,0.0,122.77653417098713,6044.768465718882,10652.317984162399,0.08525318898107545,0.5070602763543924,0.008874393376574124,184726.4333191103,2196.54747661701,2457.779352042016,3
